"Designator","Val","Package","Mid X","Mid Y","Rotation","Layer"
"C001","4.7μF","unpolarised-nominal-0402-1005","94.100000","-47.700000","-90.000000","bottom"
"C004","4.7μF","unpolarised-nominal-0402-1005","124.500000","-58.500000","90.000000","bottom"
"C005","4.7μF","unpolarised-nominal-0402-1005","122.300000","-58.500000","90.000000","bottom"
"C006","4.7μF","unpolarised-nominal-0402-1005","120.300000","-58.500000","90.000000","bottom"
"C007","4.7μF","unpolarised-nominal-0402-1005","79.700000","-69.500000","-90.000000","bottom"
"C008","4.7μF","unpolarised-nominal-0402-1005","77.700000","-69.500000","-90.000000","bottom"
"C009","4.7μF","unpolarised-nominal-0402-1005","75.500000","-69.500000","-90.000000","bottom"
"C011","100nF","unpolarised-nominal-0402-1005","115.600000","-50.800000","90.000000","bottom"
"C101","4.7μF","unpolarised-nominal-0805-2012","134.591323","-126.191323","180.000000","bottom"
"C102","4.7μF","unpolarised-nominal-0805-2012","141.400000","-122.000000","90.000000","bottom"
"C103","100nF","unpolarised-nominal-0402-1005","142.900000","-122.000000","90.000000","bottom"
"C104","100nF","unpolarised-nominal-0402-1005","144.300000","-124.600000","-90.000000","bottom"
"C106","39pF","unpolarised-nominal-0402-1005","143.300000","-119.400000","90.000000","bottom"
"C107","100nF","unpolarised-nominal-0402-1005","143.300000","-124.600000","-90.000000","bottom"
"C108","100pF","unpolarised-nominal-0402-1005","146.300000","-124.600000","-90.000000","bottom"
"C109","4.7μF","unpolarised-nominal-0402-1005","146.700000","-122.000000","90.000000","bottom"
"C110","4.7μF","unpolarised-nominal-0402-1005","131.400000","-114.900000","180.000000","bottom"
"C111","100nF","unpolarised-nominal-0402-1005","139.900000","-110.700000","90.000000","bottom"
"C112","4.7μF","unpolarised-nominal-0402-1005","137.200000","-113.400000","180.000000","bottom"
"C113","4.7μF","unpolarised-nominal-0402-1005","140.900000","-110.700000","90.000000","bottom"
"C114","470pF","unpolarised-nominal-0402-1005","137.200000","-114.900000","180.000000","bottom"
"C115","470pF","unpolarised-nominal-0402-1005","137.200000","-111.900000","180.000000","bottom"
"C116","22μF","unpolarised-nominal-0805-2012","156.600000","-122.500000","-90.000000","bottom"
"C117","22μF","unpolarised-nominal-0805-2012","154.600000","-122.500000","-90.000000","bottom"
"C118","4.7μF","unpolarised-nominal-0402-1005","155.600000","-119.400000","90.000000","bottom"
"C119","4.7μF","unpolarised-nominal-0402-1005","156.600000","-119.400000","90.000000","bottom"
"C120","4.7μF","unpolarised-nominal-0402-1005","154.600000","-119.400000","90.000000","bottom"
"C121","4.7μF","unpolarised-nominal-0402-1005","154.800000","-126.700000","180.000000","bottom"
"C122","47nF","unpolarised-nominal-0402-1005","151.500000","-121.500000","180.000000","bottom"
"C123","22μF","unpolarised-nominal-0805-2012","148.800000","-112.800000","90.000000","bottom"
"C124","22μF","unpolarised-nominal-0805-2012","148.800000","-116.200000","-90.000000","bottom"
"C127","10pF","unpolarised-nominal-0402-1005","149.000000","-119.400000","90.000000","bottom"
"C201","22μF","unpolarised-nominal-0805-2012","95.600000","-145.200000","-90.000000","bottom"
"C202","22μF","unpolarised-nominal-0805-2012","95.600000","-141.800000","90.000000","bottom"
"C203","4.7μF","unpolarised-nominal-0402-1005","94.100000","-144.500000","-90.000000","bottom"
"C204","4.7μF","unpolarised-nominal-0402-1005","94.100000","-142.500000","90.000000","bottom"
"C205","4.7μF","unpolarised-nominal-0402-1005","88.900000","-143.500000","-90.000000","bottom"
"C206","4.7μF","unpolarised-nominal-0402-1005","79.000000","-138.000000","0.000000","bottom"
"C207","22μF","unpolarised-nominal-0805-2012","82.500000","-146.500000","0.000000","bottom"
"C208","22μF","unpolarised-nominal-0805-2012","74.000000","-133.700000","180.000000","bottom"
"C209","4.7μF","unpolarised-nominal-0402-1005","76.200000","-130.800000","90.000000","bottom"
"C210","4.7μF","unpolarised-nominal-0402-1005","74.800000","-132.200000","180.000000","bottom"
"C211","4.7μF","unpolarised-nominal-0402-1005","76.200000","-128.400000","-90.000000","bottom"
"C212","22μF","unpolarised-nominal-0805-2012","74.000000","-126.500000","180.000000","bottom"
"C213","22μF","unpolarised-nominal-0805-2012","74.000000","-121.000000","180.000000","bottom"
"C214","22μF","unpolarised-nominal-0805-2012","49.000000","-131.300000","180.000000","bottom"
"C218","4.7μF","unpolarised-nominal-0402-1005","52.800000","-137.600000","90.000000","bottom"
"C220","22μF","unpolarised-nominal-0805-2012","54.200000","-143.500000","0.000000","bottom"
"C221","22μF","unpolarised-nominal-0805-2012","45.300000","-129.300000","180.000000","bottom"
"C222","22μF","unpolarised-nominal-0805-2012","45.300000","-133.200000","180.000000","bottom"
"C224","4.7μF","unpolarised-nominal-0402-1005","66.100000","-140.100000","-90.000000","bottom"
"C226","22μF","unpolarised-nominal-0805-2012","59.800000","-143.500000","180.000000","bottom"
"C227","22μF","unpolarised-nominal-0805-2012","82.500000","-121.000000","180.000000","bottom"
"C230","4.7nF","unpolarised-nominal-0603-1608","60.000000","-127.500000","90.000000","bottom"
"C231","4.7μF","unpolarised-nominal-0402-1005","91.500000","-85.200000","180.000000","bottom"
"C232","4.7μF","unpolarised-nominal-0402-1005","50.000000","-120.100000","-90.000000","bottom"
"C233","4.7μF","unpolarised-nominal-0402-1005","68.000000","-151.300000","-90.000000","bottom"
"C234","4.7μF","unpolarised-nominal-0402-1005","62.200000","-136.500000","-90.000000","bottom"
"C236","4.7nF","unpolarised-nominal-0603-1608","56.300000","-131.300000","180.000000","bottom"
"C237","470pF","unpolarised-nominal-0402-1005","58.300000","-131.300000","-90.000000","bottom"
"C238","4.7nF","unpolarised-nominal-0603-1608","54.000000","-130.800000","-90.000000","bottom"
"C239","4.7μF","unpolarised-nominal-0402-1005","51.800000","-121.700000","90.000000","bottom"
"C241","4.7nF","unpolarised-nominal-0603-1608","57.700000","-127.000000","0.000000","bottom"
"C242","470pF","unpolarised-nominal-0402-1005","55.700000","-127.000000","90.000000","bottom"
"C243","4.7μF","unpolarised-nominal-0402-1005","65.200000","-130.900000","0.000000","bottom"
"C244","4.7μF","unpolarised-nominal-0402-1005","48.800000","-127.300000","180.000000","bottom"
"C301","4.7μF","unpolarised-nominal-0402-1005","108.100000","-109.700000","-90.000000","bottom"
"C302","4.7μF","unpolarised-nominal-0402-1005","101.800000","-93.100000","180.000000","bottom"
"C303","4.7μF","unpolarised-nominal-0402-1005","106.200000","-90.300000","90.000000","bottom"
