"Designator","Val","Package","Mid X","Mid Y","Rotation","Layer"
"C002","22μF","unpolarised-nominal-0805-2012","100.000000","-44.100000","0.000000","top"
"C010","4.7μF","unpolarised-nominal-0402-1005","134.000000","-44.800000","0.000000","top"
"C216","4.7μF","unpolarised-nominal-0402-1005","57.000000","-136.900000","0.000000","top"
"C217","4.7μF","unpolarised-nominal-0402-1005","57.000000","-121.400000","0.000000","top"
"C309","4.7μF","unpolarised-nominal-0402-1005","109.250000","-107.200000","0.000000","top"
"C311","4.7μF","unpolarised-nominal-0402-1005","104.900000","-100.800000","90.000000","top"
"C312","4.7μF","unpolarised-nominal-0402-1005","104.900000","-97.400000","90.000000","top"
"C313","4.7μF","unpolarised-nominal-0402-1005","102.800000","-100.800000","90.000000","top"
"C321","100nF","unpolarised-nominal-0402-1005","109.700000","-104.800000","90.000000","top"
"C328","4.7μF","unpolarised-nominal-0402-1005","133.200000","-92.000000","0.000000","top"
"C329","4.7μF","unpolarised-nominal-0402-1005","139.200000","-92.000000","0.000000","top"
"C330","4.7μF","unpolarised-nominal-0402-1005","136.200000","-92.700000","0.000000","top"
"C331","4.7μF","unpolarised-nominal-0402-1005","131.700000","-94.000000","90.000000","top"
"C332","4.7μF","unpolarised-nominal-0402-1005","140.700000","-94.000000","90.000000","top"
"C333","4.7μF","unpolarised-nominal-0402-1005","133.200000","-97.000000","135.000000","top"
"C334","4.7μF","unpolarised-nominal-0402-1005","139.200000","-97.000000","225.000000","top"
"C335","4.7μF","unpolarised-nominal-0402-1005","136.200000","-99.500000","0.000000","top"
"C337","4.7μF","unpolarised-nominal-0402-1005","102.800000","-94.250000","90.000000","top"
"C338","4.7μF","unpolarised-nominal-0402-1005","106.250000","-92.800000","0.000000","top"
"C339","4.7μF","unpolarised-nominal-0402-1005","110.250000","-92.800000","0.000000","top"
"C340","4.7μF","unpolarised-nominal-0402-1005","117.200000","-94.100000","90.000000","top"
"C341","4.7μF","unpolarised-nominal-0402-1005","117.200000","-99.750000","90.000000","top"
"C342","4.7μF","unpolarised-nominal-0402-1005","115.400000","-107.200000","0.000000","top"
"C343","4.7μF","unpolarised-nominal-0402-1005","108.300000","-95.000000","0.000000","top"
"C344","4.7μF","unpolarised-nominal-0402-1005","113.900000","-99.700000","90.000000","top"
"C345","4.7μF","unpolarised-nominal-0402-1005","106.100000","-107.200000","0.000000","top"
"C346","4.7μF","unpolarised-nominal-0402-1005","108.000000","-99.700000","90.000000","top"
"C405","22μF","unpolarised-nominal-0805-2012","81.300000","-90.300000","0.000000","top"
"C406","22μF","unpolarised-nominal-0805-2012","74.700000","-90.300000","0.000000","top"
"C501","4.7μF","unpolarised-nominal-0402-1005","143.000000","-44.800000","0.000000","top"
"C505","4.7μF","unpolarised-nominal-0402-1005","55.000000","-39.000000","90.000000","top"
"C506","4.7μF","unpolarised-nominal-0402-1005","57.000000","-40.800000","0.000000","top"
"C508","4.7μF","unpolarised-nominal-0402-1005","145.200000","-39.000000","90.000000","top"
"C510","4.7μF","unpolarised-nominal-0402-1005","66.000000","-44.400000","0.000000","top"
"C511","4.7μF","unpolarised-nominal-0402-1005","64.000000","-44.400000","0.000000","top"
"C601","4.7μF","unpolarised-nominal-0402-1005","103.500000","-87.709048","0.000000","top"
"C602","4.7μF","unpolarised-nominal-0402-1005","107.900000","-87.700000","0.000000","top"
"C603","4.7μF","unpolarised-nominal-0402-1005","143.000000","-50.100000","0.000000","top"
"FB301","WLBD2012HCU601TH","WLBD2012","102.800000","-97.500000","270.000000","top"
"R213","2.49kΩ","nominal-0402-1005","57.000000","-118.900000","90.000000","top"
"R304","10kΩ","nominal-0402-1005","111.800000","-104.800000","90.000000","top"
"R305","1kΩ","nominal-0402-1005","110.750000","-104.800000","90.000000","top"
"R306","1kΩ","nominal-0402-1005","112.300000","-107.200000","0.000000","top"
"R342","33kΩ","nominal-0402-1005","136.000000","-44.800000","0.000000","top"
"R501","33kΩ","nominal-0402-1005","57.000000","-44.400000","0.000000","top"
"U002","TSOP75338TT","TSOP7????TT","135.000000","-42.200000","0.000000","top"
"U502","DPS310XTSA1","PG-VLGA-8-1-2.0x2.5mm-0.65mm","57.000000","-39.000000","90.000000","top"
"U503","HDC3022","WSON8-2.5x2.5mm-0.5mm-expad-1.2x1.9mm-thermvias","143.000000","-39.000000","270.000000","top"
"U504","VL6180V1NR1","OPTICAL-LGA12-2.8x4.8mm-0.75mm","65.000000","-42.200000","180.000000","top"
